,words,count
1294,lower,6
1295,insta,6
1296,yayyy,6
1297,dark,6
1298,eg,6
1299,catch,6
1300,context,6
1301,bog,6
1302,clown,6
1303,ish,6
1304,car,6
1305,apart,6
1306,gn,6
1307,watching,6
1308,photoshop,6
1309,certain,6
1310,ditch,6
1311,she'd,6
1312,socks,6
1313,flash,6
1314,mtr,6
1315,confused,6
1316,dog,6
1317,thus,6
1318,plays,6
1319,",",6
1320,brought,6
1321,opinion,6
1322,died,6
1323,broken,6
1324,finals,6
1325,stress,6
1326,9,6
1327,it’ll,6
1328,i’d,6
1329,film,6
1330,enjoyed,6
1331,pretend,6
1332,｡,6
1333,choice,6
1334,reread,6
1335,neck,6
1336,able,6
1337,personally,6
1338,hugs,6
1339,pop,6
1340,ace,6
1341,force,6
1342,depression,6
1343,depressed,6
1344,fault,6
1345,cha,6
1346,✅,6
1347,perfectly,6
1348,titles,6
1349,yahhh,6
1350,anchors,6
1351,mario,6
1352,nicer,5
1353,toronto,5
1354,pro,5
1355,ride,5
1356,(?),5
1357,2019,5
1358,guaranteed,5
1359,competitive,5
1360,ugly,5
1361,co-op,5
1362,(a,5
1363,rid,5
1364,negative,5
1365,winter,5
1366,known,5
1367,imo,5
1368,chapter,5
1369,bish,5
1370,relatively,5
1371,freaking,5
1372,timing,5
1373,worry,5
1374,progress,5
1375,level,5
1376,average,5
1377,sitting,5
1378,tiny,5
1379,complaining,5
1380,toxic,5
1381,forget,5
1382,shskxjajx,5
1383,gentle,5
1384,jacket,5
1385,accidentally,5
1386,shower,5
1387,bag,5
1388,👹,5
1389,patrick,5
1390,f,5
1391,mature,5
1392,monk,5
1393,joking,5
1394,boots,5
1395,path,5
1396,advisor,5
1397,0,5
1398,sparkly,5
1399,everyone's,5
1400,booo,5
1401,followed,5
1402,fam,5
1403,wife,5
1404,episode,5
1405,11pm,5
1406,isabella,5
1407,faith,5
1408,effort,5
1409,itll,5
1410,wtv,5
1411,state,5
1412,faustine,5
1413,(outside,5
1414,barriers,5
1415,asshole,5
1416,supports,5
1417,criticism,5
1418,language,5
1419,creative,5
1420,ideas,5
1421,vs,5
1422,attitude,5
1423,"person,",5
1424,stands,5
1425,cruel,5
1426,brother,5
1427,space,5
1428,controlling,5
1429,difference,5
1430,mining,5
1431,spelt,5
1432,1.5,5
1433,sexual,5
1434,etc.,5
1435,except,5
1436,lines,5
1437,watched,5
1438,death,5
1439,excel,5
1440,slightly,5
1441,friend's,5
1442,serious,5
1443,dick,5
1444,mention,5
1445,esp,5
1446,badly,5
1447,veins,5
1448,?????,5
1449,sign,5
1450,conversations,5
1451,"""i",5
1452,no?,5
1453,itd,5
1454,recording,5
1455,waking,5
1456,lll,5
1457,marks,5
1458,helping,5
1459,spent,5
1460,offered,5
1461,meiyou,5
1462,???,5
1463,analysis,5
1464,august,5
1465,hot,5
1466,❤,5
1467,how's,5
1468,screen,5
1469,ignore,5
1470,lose,5
1471,shoot,5
1472,including,5
1473,humid,5
1474,youve,5
1475,learnt,5
1476,uwu,5
1477,growing,5
1478,ytd,5
1479,rawr,5
1480,hkyinxd,5
1481,base,5
1482,anxiety,5
1483,hehehehe,5
1484,btw,5
1485,shoo,5
1486,decide,5
1487,fly,5
1488,jokes,5
1489,review,5
1490,june,5
1491,strange,5
1492,whos,5
1493,dates,5
1494,bio,5
1495,ust,5
1496,keyboard,5
1497,pool,5
1498,emailed,5
1499,tv,5
1500,gurlie,5
1501,length,5
1502,test,5
1503,hurts,5
1504,"""you",5
1505,yy's,5
1506,blue,5
1507,screaming,5
1508,apologise,5
1509,camera,5
1510,center,5
1511,ay,5
1512,^,5
1513,cook,5
1514,photoshopped,5
1515,mmm,5
1516,piece,5
1517,sandeepti's,5
1518,por,5
1519,briefly,5
1520,oui,5
1521,fresh,5
1522,bottom,5
1523,chemistry,5
1524,lady,5
1525,reached,5
1526,yys,5
1527,perish,5
1528,appreciate,5
1529,shop,5
1530,sorta,5
1531,milk,5
1532,birthday,5
1533,sunday,5
1534,ordered,5
1535,sims,5
1536,confidence,5
1537,song,5
1538,adopted,5
1539,boston,5
1540,????,5
1541,father,5
1542,wan,5
1543,gifts,5
1544,manifesting,5
1545,bb,5
1546,faster,5
1547,yikes,5
1548,explode,5
1549,siblings,5
1550,financial,5
1551,eventually,5
1552,wizards,5
1553,anti,5
1554,grateful,5
1555,machine,5
1556,website,5
1557,speaking,5
1558,wanting,5
1559,kick,5
1560,financially,5
1561,27,5
1562,spoil,5
1563,math,5
1564,scream,5
1565,qs,5
1566,binder,5
1567,ppt,5
1568,ahhh,5
1569,became,5
1570,treating,5
1571,apology,5
1572,industrial,5
1573,brothers,5
1574,pros,5
1575,cons,5
1576,split,5
1577,punishing,5
1578,annoyed,5
1579,electronic,5
1580,intern,5
1581,along,5
1582,robot,5
1583,!,5
1584,okanagan,4
1585,pipeline,4
1586,silicon,4
1587,rural,4
1588,visa,4
1589,graduate,4
1590,considering,4
1591,canada:,4
1592,"compsci,",4
1593,necessarily,4
1594,directly,4
1595,--,4
1596,offers,4
1597,upon,4
1598,smell,4
1599,dean's,4
1600,suppose,4
1601,helps,4
1602,85%,4
1603,hl,4
1604,transcript,4
1605,80%,4
1606,application,4
1607,needed,4
1608,30%,4
1609,opposite,4
1610,particularly,4
1611,absolute,4
1612,busy,4
1613,impression,4
1614,possible,4
1615,culture,4
1616,!!,4
1617,shift,4
1618,loled,4
1619,juts,4
1620,mask,4
1621,eye,4
1622,24/7,4
1623,steal,4
1624,kiet,4
1625,whenever,4
1626,approved,4
1627,nathan,4
1628,sticker,4
1629,content,4
1630,scientist,4
1631,convenient,4
1632,windows,4
1633,exit,4
1634,chats,4
1635,wis,4
1636,messaged,4
1637,aunt,4
1638,2pm,4
1639,willing,4
1640,past,4
1641,duolingo,4
1642,evening,4
1643,deleting,4
1644,likes,4
1645,blurry,4
1646,behaviour,4
1647,society,4
1648,naw,4
1649,dammit,4
1650,stage,4
1651,>>>,4
1652,isnt,4
1653,teach,4
1654,responsibility,4
1655,dated,4
1656,style,4
1657,indian,4
1658,marriage,4
1659,grow,4
1660,srs,4
1661,13,4
1662,partner),4
1663,"friendly,",4
1664,"friendship,",4
1665,"playful,",4
1666,lovers,4
1667,"genders,",4
1668,educate,4
1669,minded,4
1670,acts,4
1671,"way,",4
1672,"passionate,",4
1673,"ambitious,",4
1674,"driven,",4
1675,viet/canto,4
1676,spending/money,4
1677,ses,4
1678,eq,4
1679,respects,4
1680,secure,4
1681,"cunning,",4
1682,"project,",4
1683,update,4
1684,"hygiene,",4
1685,ffs,4
1686,controlled,4
1687,eggs,4
1688,reflect,4
1689,who's,4
1690,jealous,4
1691,smol,4
1692,platonic,4
1693,invite,4
1694,whatchu,4
1695,bai,4
1696,biggest,4
1697,ways,4
1698,talks,4
1699,"things,",4
1700,cares,4
1701,long-term,4
1702,fill,4
1703,cray,4
1704,cereal,4
1705,shopping,4
1706,uses,4
1707,paiseh,4
1708,prefer,4
1709,household,4
1710,^^,4
1711,repressed,4
1712,rs,4
1713,response,4
1714,showing,4
1715,drink,4
1716,request,4
1717,approval,4
1718,convinced,4
1719,nobody,4
1720,bringing,4
1721,attack,4
1722,amount,4
1723,thru,4
1724,therapist,4
1725,points,4
1726,forcing,4
1727,guilty,4
1728,amen,4
1729,session,4
1730,responsible,4
1731,correct,4
1732,stressed,4
1733,updated,4
1734,bsc,4
1735,ahhhhh,4
1736,assignments,4
1737,15,4
1738,choosing,4
1739,damien,4
1740,sweet,4
1741,convection,4
1742,pages,4
1743,pier,4
1744,pew,4
1745,textbook,4
1746,oooo,4
